date,mean_risk,risk_deseason,oil_price,risk_raw_index,risk_deseason_index,oil_index
2018-01-01,0.00226978908440097,0.00227190022772603,63.7,89.398759884103,89.4803916475699,110.181547335388
2018-02-01,0.00224992194864347,0.00236146123491519,62.23,88.6162654614381,93.0078150360773,107.638896243033
2018-03-01,0.00243742614950206,0.00254430232890009,62.73,96.0013758864632,100.209140384513,108.503743553358
2018-04-01,0.00266747580668621,0.00254192929679375,66.25,105.062197530803,100.115676842551,114.592268618045
2018-05-01,0.00252777016239043,0.00230807970584046,69.98,99.5596988913096,90.9053458914998,121.044029553068
2018-06-01,0.00224087089135456,0.00230704380185548,67.87,88.259777141519,90.8645460829722,117.394373903497
2018-07-01,0.00237225280114757,0.00258858980323337,70.98,93.4344340677596,101.953433773835,122.773724173718
2018-08-01,0.00253210799733864,0.00263679846907191,68.06,99.7305504773082,103.852166054151,117.723015881421
2018-09-01,0.00259264742682144,0.00262436247233966,70.23,102.114979038115,103.362365558271,121.476453208231
2018-10-01,0.00263768681916545,0.00248664027533593,70.75,103.888917352102,97.9380797661118,122.375894410968
2018-11-01,0.00265286512287321,0.0025015148788977,56.96,104.486735685948,98.5239265106413,98.5234055922086
2018-12-01,0.00258835200215691,0.00259654374634636,49.52,101.945797839376,102.266705429081,85.6544776145746
2019-01-01,0.00254974073150809,0.00255185187483316,51.38,100.425039925226,100.506484571818,88.8717096089831
2019-02-01,0.002595734719781,0.00270727400605271,54.95,102.23657631069,106.627894747539,95.0467194047027
2019-03-01,0.00249425268328765,0.00260112886268569,58.15,98.2395669518171,102.447293467581,100.581742190782
2019-04-01,0.00253833524141777,0.0024127887315253,63.86,99.9758190363984,95.0293846644054,110.458298474692
2019-05-01,0.00264410311370594,0.00242441265715598,60.83,104.14163192321,95.4872011676221,105.217323774123
2019-06-01,0.00260111210941203,0.00266728501991296,54.66,102.448372185351,105.052900345186,94.5451079647142
2019-07-01,0.00229657861175268,0.00251291561383848,57.35,90.4539022052922,98.9729524912375,99.197986494262
2019-08-01,0.00246934320202381,0.00257403367375708,54.81,97.2584728274125,101.380130355615,94.8045621578117
2019-09-01,0.0023951488192084,0.00242686386472662,56.95,94.3362251790963,95.5837437053417,98.5061086460021
2019-10-01,0.00268912713343132,0.0025380805896018,53.96,105.914964765503,99.9640927973227,93.3343217302594
2019-11-01,0.00271595378604866,0.00256460354207315,57.03,106.971569316258,101.008717973122,98.6444842156541
2019-12-01,0.0026656098763076,0.00267380162049705,59.88,104.988705300611,105.309561251927,103.574113884506
2020-01-01,0.00280853741682065,0.00281064856014572,57.52,110.618102746816,110.699374416298,99.4920345797725
2020-02-01,0.00288425731592125,0.00299579660219297,50.54,113.60043494881,117.991560540048,87.4187661276373
2020-03-01,0.00305414508093304,0.00316102126033107,29.21,120.291697857735,124.499050147033,50.5243798691786
2020-04-01,0.00293739875376278,0.00281185224387032,16.55,115.693483450162,110.746782348118,28.626445971753
2020-05-01,0.00280870268938047,0.00258901223283051,28.56,110.624612233531,101.970071461236,49.4000783657563
2020-06-01,0.00266893038153274,0.00273510329203367,38.31,105.119487958505,107.723970789285,66.2646009170912
2020-07-01,0.00242637538437235,0.00264271238645815,40.71,95.5661263273054,104.085089858389,70.4158680066505
2020-08-01,0.00260121349086403,0.0027059039625973,42.34,102.452365233052,106.573934620475,73.2352702383096
2020-09-01,0.00262098126206127,0.00265269630757949,39.63,103.230946046067,104.478313628172,68.5477978163488
2020-10-01,0.00271713547550837,0.00256608893167885,39.4,107.018111778284,101.067221089608,68.1499680535994
2020-11-01,0.00272922579242264,0.00257787554844713,40.94,107.494305511952,101.53144529794,70.8136977693999
2020-12-01,0.00263775038332456,0.002645942127514,47.02,103.891420913792,104.212295486115,81.3302410629503
2021-01-01,0.00192271061828488,0.00192482176160994,52,75.7285979001122,75.8104616473468,89.9441202737859
2021-02-01,0.00216409148602534,0.00227563077229706,59.04,85.2357148318343,89.6273217746944,102.12117040316
2021-03-01,0.00204780457308263,0.00215468075248067,62.33,80.6555950844647,84.8636200016704,107.811865705098
2021-04-01,0.0024165407506587,0.00229099424076624,61.72,95.1787757739184,90.2324228081421,106.756751986501
2021-05-01,0.00271995919487769,0.00250026873832772,65.17,107.129327843077,98.4748463860442,112.724198427743
2021-06-01,0.00245912515407802,0.00252529806457895,71.38,96.8560209780014,99.4606440404931,123.465602021978
2021-07-01,0.00234243531635446,0.00255877231844025,72.49,92.2600314848556,100.779051120639,125.385563050899
2021-08-01,0.00237172230091477,0.00247641277264804,67.73,93.4135395876262,97.5352623646605,117.152216656606
2021-09-01,0.00252881888117516,0.00256053392669337,71.65,99.6010041207103,100.848433303226,123.932619569553
2021-10-01,0.00283792748658739,0.00268688094275787,81.48,111.775671001995,105.82469957715,140.93551769054
2021-11-01,0.00275921801726417,0.00260786777328866,79.15,108.67559047161,102.712710211095,136.905329224426
2021-12-01,0.00243697730847126,0.00244516905266071,71.71,95.9836976661323,96.3047064331655,124.036401246792
2022-01-01,0.00208231925094799,0.00208443039427306,83.22,82.0150030665401,82.0967601329645,143.945186330471
2022-02-01,0.00188067503498092,0.00199221432125264,91.64,74.0729687298934,78.4647651054685,158.509215036341
2022-03-01,0.00214724617713532,0.00225412235653335,108.5,84.5722392098118,88.7801976612461,187.671866340496
2022-04-01,0.00240091179126795,0.00227536528137548,101.78,94.5632077471732,89.6168652276368,176.04831848973
2022-05-01,0.00262782988823797,0.002408139431688,109.55,103.50068859233,94.8462687136027,189.488045692178
2022-06-01,0.00217455153779337,0.0022407244482943,114.84,85.6476983340952,88.2525116027396,198.638130235415
2022-07-01,0.000523216679131222,0.000739553681217018,101.62,20.6076073704243,29.1278429537095,175.771567350426
2022-08-01,0.0010184018344709,0.00112309230620417,93.67,40.1111546844105,44.2337820072792,162.02049511626
2022-09-01,0.00134278989035901,0.00137450493587722,84.26,52.8876237038947,54.1358456162993,145.744068735946
2022-10-01,0.00206723386779285,0.00191618732396333,87.55,81.4208445362546,75.470388235299,151.434764037884
2022-11-01,0.00223208676230654,0.00208073651833102,84.37,87.913802156904,81.9512742256359,145.934335144218
2022-12-01,0.00202379189057046,0.00203198363475991,76.44,79.7098226103473,80.0311075463721,132.217856802465
2023-01-01,0.00238634180727704,0.00238845295060211,78.12,93.989348920699,94.0709027814942,135.123743765157
2023-02-01,0.00199883273065586,0.00211037201692757,76.83,78.7267718240652,83.1184892242209,132.892437704519
2023-03-01,0.00187090103819424,0.00197777721759227,73.28,73.6880064451394,77.8961496028945,126.752021801212
2023-04-01,0.00236404714879182,0.00223850063889936,79.45,93.1112431820134,88.1649253024345,137.424237610621
2023-05-01,0.00293967360729428,0.00271998315074432,71.58,115.78308168025,107.128453368306,123.811540946108
2023-06-01,0.00231152575370287,0.00237769866420379,70.25,91.0426159158925,93.647337632344,121.511047100644
2023-07-01,0.00189847194552266,0.00211480894760846,76.07,74.7739244896749,83.2932408661254,131.577869792825
2023-08-01,0.00197465175448691,0.00207934222622018,81.39,77.7743708731807,81.8963590481881,140.779845174682
2023-09-01,0.00213301521797927,0.00216473026349748,89.43,84.0117333419954,85.2594270757122,154.686589924705
2023-10-01,0.00271433407999231,0.00256328753616279,85.64,106.907774969105,100.956886152854,148.131047312443
2023-11-01,0.00261166326767413,0.00246031302369862,77.69,102.863944041986,96.9011624055864,134.379975078278
2023-12-01,0.00244305812815034,0.00245124987233979,71.9,96.2231990991616,96.5442038018359,124.365043224716
2024-01-01,0.00247352606742861,0.00247563721075368,74.15,97.4232207251447,97.5047163128544,128.256856121177
2024-02-01,0.00247006190430943,0.00258160119058115,77.25,97.2867799038285,101.678182339128,133.618909445192
2024-03-01,0.00250050085807126,0.00260737703746929,81.28,98.4856598954444,102.693382234991,140.58957876641
2024-04-01,0.00262613094967247,0.00250058443978001,85.35,103.433773564005,98.487280510241,147.629435872454
2024-05-01,0.00280768719910022,0.00258799674255025,80.02,110.584615754408,101.930075660856,138.410163544391
2024-06-01,0.00207418282524835,0.00214035573574927,79.77,81.6945387677044,84.2994191217901,137.977739889229
2024-07-01,0.00269885903859571,0.0029151960406815,81.8,106.298269213914,114.817050619655,141.489019969148
2024-08-01,0.00229505753363848,0.00239974800537175,76.68,90.3939924550729,94.5157664740692,132.632983511421
2024-09-01,0.0024236913237987,0.00245540636931691,70.24,95.4604109159541,96.7079103646754,121.493750154437
2024-10-01,0.00249974905698561,0.00234870251315609,71.99,98.4560491773391,92.5053037875665,124.520715740574
2024-11-01,0.00243498678741298,0.00228363654343747,69.95,95.9052982609382,89.9426347133271,120.992138714449
2024-12-01,0.00216426791118843,0.00217245965537788,70.12,85.2426635791434,85.5638546224041,121.286186799959
